###Consider the right boundary of PEOPT
###Consider the left boundary of C60
###Consider the right boundary of C60
###The thickness of C60 is 31nm
###Wavelength	PEOPTcomponent	C60component	totallICPE
622	0.076	1.814	20.949
623	0.077	1.780	20.949
624	0.078	1.746	20.949
625	0.079	1.712	20.949
626	0.079	1.677	20.949
627	0.080	1.643	20.949
628	0.080	1.610	20.949
629	0.080	1.581	20.949
630	0.080	1.550	20.949
631	0.080	1.520	20.949
632	0.079	1.491	20.949
633	0.078	1.463	20.949
634	0.077	1.437	20.949
635	0.076	1.412	20.949
636	0.075	1.388	20.949
637	0.074	1.365	20.949
638	0.072	1.342	20.949
639	0.070	1.318	20.949
640	0.068	1.295	20.949
641	0.065	1.272	20.949
642	0.063	1.251	20.949
643	0.060	1.230	20.949
644	0.057	1.208	20.949
645	0.054	1.187	20.949
646	0.051	1.168	20.949
647	0.048	1.149	20.949
648	0.044	1.128	20.949
649	0.041	1.112	20.949
650	0.037	1.097	20.949
651	0.034	1.081	20.949
652	0.030	1.063	20.949
653	0.026	1.044	20.949
654	0.022	1.025	20.949
655	0.019	1.007	20.949
656	0.015	0.989	20.949
657	0.011	0.970	20.949
658	0.008	0.951	20.949
659	0.004	0.930	20.949
660	0.000	0.910	20.949
661	0.000	0.890	20.949
662	0.000	0.871	20.949
663	0.000	0.849	20.949
664	0.000	0.826	20.949
665	0.000	0.802	20.949
666	0.000	0.778	20.949
667	0.000	0.754	20.949
668	0.000	0.729	20.949
669	0.000	0.702	20.949
670	0.000	0.676	20.949
671	0.000	0.650	20.949
672	0.000	0.624	20.949
673	0.000	0.597	20.949
674	0.000	0.569	20.949
675	0.000	0.541	20.949
676	0.000	0.514	20.949
677	0.000	0.486	20.949
678	0.000	0.458	20.949
679	0.000	0.430	20.949
680	0.000	0.402	20.949
681	0.000	0.375	20.949
682	0.000	0.348	20.949
683	0.000	0.322	20.949
684	0.000	0.296	20.949
685	0.000	0.271	20.949
686	0.000	0.247	20.949
687	0.000	0.224	20.949
688	0.000	0.201	20.949
689	0.000	0.181	20.949
690	0.000	0.161	20.949
691	0.000	0.143	20.949
692	0.000	0.126	20.949
693	0.000	0.110	20.949
694	0.000	0.095	20.949
695	0.000	0.083	20.949
696	0.000	0.071	20.949
697	0.000	0.062	20.949
698	0.000	0.053	20.949
699	0.000	0.047	20.949
700	0.000	0.042	20.949
