###Consider the right boundary of PEOPT
###Consider the left boundary of C60
###Consider the right boundary of C60
###Wavelength is from 400  to 700
###11nm PEOPT and 35nm C60 can construct the optimal soalr cell
The intergarl of ICPE is 3621.157
###The thickness of PEOPT	The thickness of C60	The total ICPE
32	32	3008.31
35	32	2919.39
38	32	2835.09
41	32	2755.88
44	32	2682.01
47	32	2613.59
50	32	2550.62
53	32	2493.04
56	32	2440.71
59	32	2393.47
62	32	2351.08
65	32	2313.27
68	32	2279.76
71	32	2250.32
74	32	2224.46
77	32	2201.80
80	32	2181.89
83	32	2164.30
86	32	2148.56
89	32	2134.20
92	32	2120.75
95	32	2107.74
98	32	2094.75
101	32	2081.38
5	35	3486.42
8	35	3594.69
11	35	3621.16
14	35	3589.10
17	35	3521.86
20	35	3436.26
23	35	3342.76
26	35	3247.44
29	35	3153.76
32	35	3063.64
35	35	2978.13
38	35	2897.83
41	35	2823.02
44	35	2753.83
47	35	2690.23
50	35	2632.15
53	35	2579.44
56	35	2531.87
59	35	2489.21
62	35	2451.16
65	35	2417.38
68	35	2387.51
71	35	2361.13
74	35	2337.84
77	35	2317.26
80	35	2298.81
83	35	2282.01
86	35	2266.37
89	35	2251.43
92	35	2236.72
95	35	2221.82
98	35	2206.38
101	35	2190.06
5	38	3504.94
8	38	3600.70
11	38	3617.73
14	38	3579.91
17	38	3510.22
20	38	3424.80
23	38	3333.46
26	38	3241.74
29	38	3152.68
32	38	3067.87
35	38	2988.16
38	38	2913.94
41	38	2845.36
44	38	2782.42
47	38	2725.02
50	38	2672.97
53	38	2626.06
56	38	2584.00
59	38	2546.47
62	38	2513.11
65	38	2483.51
68	38	2457.25
71	38	2433.86
74	38	2412.87
77	38	2393.78
80	38	2376.12
83	38	2359.46
86	38	2343.27
89	38	2327.10
92	38	2310.56
95	38	2293.32
98	38	2275.09
101	38	2255.68
5	41	3455.62
8	41	3539.65
11	41	3549.58
14	41	3509.08
17	41	3440.23
20	41	3358.15
23	41	3271.85
26	41	3186.28
29	41	3104.05
32	41	3026.48
35	41	2954.20
38	41	2887.44
41	41	2826.25
44	41	2770.52
47	41	2720.06
50	41	2674.62
53	41	2633.90
56	41	2597.56
59	41	2565.20
62	41	2536.42
65	41	2510.74
68	41	2487.70
71	41	2466.81
74	41	2447.56
77	41	2429.45
80	41	2412.03
83	41	2394.83
86	41	2377.52
89	41	2359.73
92	41	2341.12
95	41	2321.44
98	41	2300.53
101	41	2278.27
5	44	3350.27
8	44	3423.59
11	44	3428.51
14	44	3387.89
17	44	3322.41
20	44	3246.00
23	44	3166.76
26	44	3089.04
29	44	3015.07
32	44	2945.90
35	44	2881.98
38	44	2823.42
41	44	2770.15
44	44	2721.98
47	44	2678.66
50	44	2639.88
53	44	2605.27
56	44	2574.42
59	44	2546.90
62	44	2522.23
65	44	2499.95
68	44	2479.54
71	44	2460.51
74	44	2442.39
77	44	2424.70
80	44	2407.03
83	44	2389.02
86	44	2370.33
89	44	2350.85
92	44	2330.25
95	44	2308.40
98	44	2285.23
101	44	2260.71
5	47	3201.43
8	47	3265.07
11	47	3266.69
14	47	3227.81
17	47	3167.46
20	47	3098.21
23	47	3027.25
26	47	2958.34
29	47	2893.33
32	47	2833.05
35	47	2777.80
38	47	2727.58
41	47	2682.23
44	47	2641.51
47	47	2605.10
50	47	2572.61
53	47	2543.65
56	47	2517.75
59	47	2494.46
62	47	2473.28
65	47	2453.73
68	47	2435.30
71	47	2417.55
74	47	2400.04
77	47	2382.36
80	47	2364.19
83	47	2345.24
86	47	2325.34
89	47	2304.38
92	47	2282.17
95	47	2258.68
98	47	2233.90
101	47	2207.88
5	50	3021.09
8	50	3076.03
11	50	3075.62
14	50	3039.72
17	50	2985.53
20	50	2924.21
23	50	2862.04
26	50	2802.23
29	50	2746.30
32	50	2694.87
35	50	2648.11
38	50	2605.94
41	50	2568.12
44	50	2534.35
47	50	2504.26
50	50	2477.44
53	50	2453.44
56	50	2431.79
59	50	2412.00
62	50	2393.61
65	50	2376.13
68	50	2359.12
71	50	2342.18
74	50	2324.93
77	50	2307.08
80	50	2288.37
83	50	2268.67
86	50	2247.89
89	50	2225.88
92	50	2202.62
95	50	2178.13
98	50	2152.48
101	50	2125.78
5	53	2820.03
8	53	2867.12
11	53	2865.56
14	53	2833.35
17	53	2785.76
20	53	2732.57
23	53	2679.17
26	53	2628.27
29	53	2581.08
32	53	2538.06
35	53	2499.25
38	53	2464.50
41	53	2433.53
44	53	2405.98
47	53	2381.45
50	53	2359.50
53	53	2339.67
56	53	2321.49
59	53	2304.50
62	53	2288.24
65	53	2272.28
68	53	2256.26
71	53	2239.82
74	53	2222.70
77	53	2204.68
80	53	2185.73
83	53	2165.61
86	53	2144.29
89	53	2121.75
92	53	2098.06
95	53	2073.27
98	53	2047.51
101	53	2020.89
5	56	2607.45
8	56	2647.48
11	56	2645.35
14	56	2617.10
17	56	2576.12
20	56	2530.83
23	56	2485.81
26	56	2443.28
29	56	2404.19
32	56	2368.86
35	56	2337.24
38	56	2309.10
41	56	2284.12
44	56	2261.93
47	56	2242.09
50	56	2224.18
53	56	2207.73
56	56	2192.29
59	56	2177.43
62	56	2162.76
65	56	2147.92
68	56	2132.60
71	56	2116.61
74	56	2099.75
77	56	2081.83
80	56	2062.76
83	56	2042.52
86	56	2021.13
89	56	1998.63
92	56	1975.11
95	56	1950.68
98	56	1925.48
101	56	1899.65
5	59	2390.95
8	59	2424.65
11	59	2422.33
14	59	2398.06
17	59	2363.39
20	59	2325.50
23	59	2288.19
26	59	2253.28
29	59	2221.48
32	59	2192.96
35	59	2167.61
38	59	2145.17
41	59	2125.28
44	59	2107.54
47	59	2091.55
50	59	2076.86
53	59	2063.05
56	59	2049.71
59	59	2036.47
62	59	2023.07
65	59	2009.18
68	59	1994.54
71	59	1978.98
74	59	1962.37
77	59	1944.65
80	59	1925.80
83	59	1905.85
86	59	1884.86
89	59	1862.91
92	59	1840.12
95	59	1816.62
98	59	1792.55
101	59	1768.07
5	62	2176.69
8	62	2204.78
11	62	2202.50
14	62	2182.04
17	62	2153.22
20	62	2122.06
23	62	2091.67
26	62	2063.50
29	62	2038.07
32	62	2015.43
35	62	1995.41
38	62	1977.73
41	62	1962.02
44	62	1947.88
47	62	1934.92
50	62	1922.77
53	62	1911.08
56	62	1899.44
59	62	1887.52
62	62	1875.06
65	62	1861.86
68	62	1847.75
71	62	1832.63
74	62	1816.44
77	62	1799.18
80	62	1780.88
83	62	1761.59
86	62	1741.42
89	62	1720.47
92	62	1698.87
95	62	1676.75
98	62	1654.27
101	62	1631.55
5	65	1969.53
8	65	1992.73
11	65	1990.68
14	65	1973.78
17	65	1950.26
20	65	1925.08
23	65	1900.76
26	65	1878.42
29	65	1858.41
32	65	1840.71
35	65	1825.10
38	65	1811.32
41	65	1799.04
44	65	1787.82
47	65	1777.29
50	65	1767.10
53	65	1756.92
56	65	1746.45
59	65	1735.45
62	65	1723.73
65	65	1711.14
68	65	1697.58
71	65	1683.02
74	65	1667.44
77	65	1650.89
80	65	1633.41
83	65	1615.12
86	65	1596.11
89	65	1576.50
92	65	1556.43
95	65	1536.03
98	65	1515.42
101	65	1494.74
5	68	1773.30
8	68	1792.35
11	68	1790.70
14	68	1777.07
17	68	1758.26
20	68	1738.31
23	68	1719.21
26	68	1701.85
29	68	1686.45
32	68	1672.89
35	68	1660.92
38	68	1650.26
41	68	1640.55
44	68	1631.47
47	68	1622.68
50	68	1613.88
53	68	1604.79
56	68	1595.20
59	68	1584.93
62	68	1573.83
65	68	1561.82
68	68	1548.87
71	68	1534.98
74	68	1520.17
77	68	1504.52
80	68	1488.11
83	68	1471.05
86	68	1453.44
89	68	1435.42
92	68	1417.09
95	68	1398.60
98	68	1380.04
101	68	1361.53
5	71	1590.96
8	71	1606.65
11	71	1605.58
14	71	1595.01
17	71	1580.44
20	71	1565.07
23	71	1550.47
26	71	1537.24
29	71	1525.52
32	71	1515.18
35	71	1505.99
38	71	1497.65
41	71	1489.87
44	71	1482.34
47	71	1474.80
50	71	1466.98
53	71	1458.68
56	71	1449.74
59	71	1440.04
62	71	1429.49
65	71	1418.07
68	71	1405.77
