###Wavelength(nm)     Reflectioncoefficient     Absorbptioncoefficient
676	0.426	0.574
677	0.427	0.573
678	0.426	0.574
679	0.426	0.574
680	0.424	0.576
681	0.424	0.576
682	0.425	0.575
683	0.425	0.575
684	0.425	0.575
685	0.424	0.576
686	0.424	0.576
687	0.425	0.575
688	0.424	0.576
689	0.425	0.575
690	0.425	0.575
691	0.424	0.576
692	0.424	0.576
693	0.423	0.577
694	0.422	0.578
695	0.421	0.579
696	0.422	0.578
697	0.423	0.577
698	0.422	0.578
699	0.423	0.577
700	0.422	0.578
