###Consider the right boundary of PEOPT
###Consider the left boundary of C60
###Consider the right boundary of C60
###The vary thickness of C60
###Wavelength	20(nm)	40(nm)	
660	0.00031	0.00089
661	0.00031	0.00087
662	0.00030	0.00085
663	0.00029	0.00084
664	0.00028	0.00082
665	0.00028	0.00080
666	0.00027	0.00078
667	0.00026	0.00076
668	0.00025	0.00073
669	0.00024	0.00071
670	0.00023	0.00069
671	0.00022	0.00066
672	0.00021	0.00064
673	0.00020	0.00061
674	0.00019	0.00059
675	0.00019	0.00056
676	0.00018	0.00054
677	0.00017	0.00051
678	0.00016	0.00048
679	0.00015	0.00045
680	0.00014	0.00043
681	0.00013	0.00040
682	0.00012	0.00037
683	0.00011	0.00034
684	0.00010	0.00032
685	0.00009	0.00029
686	0.00009	0.00027
687	0.00008	0.00024
688	0.00007	0.00022
689	0.00006	0.00020
690	0.00006	0.00018
691	0.00005	0.00016
692	0.00004	0.00014
693	0.00004	0.00012
694	0.00003	0.00011
695	0.00003	0.00009
696	0.00002	0.00008
697	0.00002	0.00007
698	0.00002	0.00006
699	0.00002	0.00005
700	0.00001	0.00005
